#EXPORTTYPE:DATA ALL
#FILE:ExpDat_00090_CaC2O4_10_1000_Al2O3-lids_Air-30-10_TGA.imp
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:ExpDat_00090_CaC2O4_10_1000_Al2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:TG
#INSTRUMENT:IMPORTED TG
#PROJECT:
#DATE/TIME:26.09.2008 09:56
#CORR. FILE:
#TEMPCAL:---
#LABORATORY:
#OPERATOR:
#REMARK:
#SAMPLE:
#SAMPLE MASS /mg:19.604
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:
#TYPE OF CRUCIBLE:
#SAMPLE CRUCIBLE MASS /mg:0.000
#REFERENCE CRUCIBLE MASS /mg:
#PROTECTIVE GAS:
#FLOW RATE:
#PURGE GAS 1:
#FLOW RATE 1:
#PURGE GAS 2:
#FLOW RATE 2:
#M.RANGE /mg:0
#CORR. CODE:600
#RANGE:30oC/10.0(K/min)/1000oC
#SEGMENT:S1/1
#SEG. 1:30oC/10.0(K/min)/1000oC

##Temp./oC;Time/min;Mass/%;DTG/(%/min)
 30.22167; 0.10300;100.00000;-2.9217e-013
 30.72167; 1.13066;100.00396; 1.4272e-002
 31.22167; 1.39446;100.01084; 2.1910e-002
 31.72167; 1.58818;100.01376; 1.6862e-002
 32.22167; 1.74891;100.01806; 3.7994e-002
 32.72167; 1.89016;100.02455; 5.0491e-002
 33.22167; 2.01715;100.03039; 3.5278e-002
 33.72167; 2.13287;100.03267; 3.7984e-003
 34.22167; 2.24030;100.03188;-1.5156e-002
 34.72167; 2.34124;100.02995;-2.1643e-002
 35.22167; 2.43635;100.02777;-2.3378e-002
 35.72167; 2.52640;100.02584;-1.7016e-002
 36.22167; 2.61220;100.02505; 7.9617e-004
 36.72167; 2.69435;100.02597; 2.1015e-002
 37.22167; 2.77313;100.02815; 3.1446e-002
 37.72167; 2.84900;100.03057; 2.9848e-002
 38.22167; 2.92233;100.03249; 2.1930e-002
 38.72167; 2.99346;100.03379; 1.5850e-002
 39.22167; 3.06262;100.03483; 1.6377e-002
 39.72167; 3.13001;100.03611; 2.2449e-002
 40.22167; 3.19575;100.03785; 3.0805e-002
 40.72167; 3.25996;100.04009; 3.7980e-002
 41.22167; 3.32270;100.04259; 4.0319e-002
