#EXPORTTYPE:                 ,DATA SINGLE                                   
#FILE:                       ,03883_?????_-30-180_10_Ar-20-70_03.04.12.dd3  
#FORMAT:                     ,NETZSCH5                                      
#FTYPE:                      ,ASCII                                         
#IDENTITY:                   ,03883                                         
#DECIMAL:                    ,POINT                                         
#SEPARATOR:                  ,COMMA                                         
#MTYPE:                      ,DSC                                           
#INSTRUMENT:                 ,NETZSCH DSC 204F1                             
#PROJECT:                    ,'??<R?¿?Raai                                  
#DATE/TIME:                  ,03-Apr-12 7:35:55 PM                          
#CORR. FILE:                 ,03881-2_bline_-30-180_10_Ar-20-70_03.04.12.bd3
#TEMPCAL:                    ,03060_Al-pirced_10_Ar-20-70_27.01.11.td3      
#SENSITIVITY:                ,Senszero.exx                                  
#LABORATORY:                 ,'?a¿Rý?-ÿ¿???                                 
#OPERATOR:                   ,?a?e?-?R                                      
#REMARK:                     ,                                              
#SAMPLE:                     ,S?ÿa?                                         
#SAMPLE MASS /mg:            ,7.3860                                        
#MATERIAL:                   ,??a                                           
#REFERENCE:                  ,-?a                                           
#REFERENCE MASS /mg:         ,0.0000                                        
#TYPE OF CRUCIBLE:           ,Pan Al, pierced lid                           
#SAMPLE CRUCIBLE MASS /mg:   ,0.0000                                        
#REFERENCE CRUCIBLE MASS /mg:,0.0000                                        
#M.RANGE /cV:                ,5000                                          
#TAU-R:                      ,---                                           
#CORR. CODE:                 ,000                                           
#EXO:                        ,+1                                            
#RANGE:                      ,-30oC....180oC/0.0....10.0K/min               
#SEGMENT:                    ,S1-3/3                                        
#SEG. 1:                     ,-30oC/00:10/-30oC                             
#SEG. 2:                     ,-30oC/10.0(K/min)/180oC                       
#SEG. 3:                     ,180oC/00:10/180oC                             

##Temp./oC,Time/min,DSC/uV,Sensit./(uV/mW),Segment
-29.53000, 0.00000,    -1.25470,1.00000,1
-29.54413, 0.01000,    -1.26439,1.00000,1
-29.55817, 0.02000,    -1.27417,1.00000,1
-29.57205, 0.03000,    -1.28409,1.00000,1
-29.58570, 0.04000,    -1.29424,1.00000,1
-29.59902, 0.05000,    -1.30469,1.00000,1
-29.61194, 0.06000,    -1.31552,1.00000,1
-29.62438, 0.07000,    -1.32680,1.00000,1
-29.63626, 0.08000,    -1.33861,1.00000,1
-29.64749, 0.09000,    -1.35102,1.00000,1
-29.65800, 0.10000,    -1.36411,1.00000,1
-29.66773, 0.11000,    -1.37784,1.00000,1
-29.67671, 0.12000,    -1.39168,1.00000,1
-29.68499, 0.13000,    -1.40500,1.00000,1
-29.69263, 0.14000,    -1.41715,1.00000,1
-29.69967, 0.15000,    -1.42751,1.00000,1
-29.70617, 0.16000,    -1.43543,1.00000,1
-29.71218, 0.17000,    -1.44027,1.00000,1
-29.71775, 0.18000,    -1.44140,1.00000,1
-29.72294, 0.19000,    -1.43817,1.00000,1
-29.72780, 0.20000,    -1.42995,1.00000,1
-29.73237, 0.21000,    -1.41636,1.00000,1
-29.73668, 0.22000,    -1.39806,1.00000,1
-29.74075, 0.23000,    -1.37598,1.00000,1
-29.74458, 0.24000,    -1.35103,1.00000,1
-29.74820, 0.25000,    -1.32415,1.00000,1
-29.75163, 0.26000,    -1.29626,1.00000,1
-29.75488, 0.27000,    -1.26828,1.00000,1
-29.75796, 0.28000,    -1.24114,1.00000,1
-29.76090, 0.29000,    -1.21575,1.00000,1
-29.76371, 0.30000,    -1.19305,1.00000,1
-29.76641, 0.31000,    -1.17375,1.00000,1
-29.76900, 0.32000,    -1.15776,1.00000,1
-29.77150, 0.33000,    -1.14479,1.00000,1
-29.77390, 0.34000,    -1.13454,1.00000,1
-29.77622, 0.35000,    -1.12672,1.00000,1
-29.77846, 0.36000,    -1.12102,1.00000,1
-29.78063, 0.37000,    -1.11716,1.00000,1
-29.78273, 0.38000,    -1.11484,1.00000,1
-29.78478, 0.39000,    -1.11377,1.00000,1
-29.78678, 0.40000,    -1.11364,1.00000,1
-29.78873, 0.41000,    -1.11419,1.00000,1
-29.79065, 0.42000,    -1.11530,1.00000,1
-29.79252, 0.43000,    -1.11686,1.00000,1
-29.79437, 0.44000,    -1.11877,1.00000,1
-29.79618, 0.45000,    -1.12092,1.00000,1
-29.79797, 0.46000,    -1.12322,1.00000,1
-29.79973, 0.47000,    -1.12556,1.00000,1
-29.80147, 0.48000,    -1.12784,1.00000,1
-29.80320, 0.49000,    -1.12997,1.00000,1
-29.80491, 0.50000,    -1.13183,1.00000,1
-29.80661, 0.51000,    -1.13335,1.00000,1
-29.80830, 0.52000,    -1.13453,1.00000,1
-29.80998, 0.53000,    -1.13540,1.00000,1
-29.81165, 0.54000,    -1.13598,1.00000,1
-29.81332, 0.55000,    -1.13630,1.00000,1
-29.81497, 0.56000,    -1.13637,1.00000,1
-29.81662, 0.57000,    -1.13623,1.00000,1
-29.81827, 0.58000,    -1.13590,1.00000,1
-29.81990, 0.59000,    -1.13541,1.00000,1
-29.82154, 0.60000,    -1.13478,1.00000,1
-29.82317, 0.61000,    -1.13403,1.00000,1
-29.82478, 0.62000,    -1.13321,1.00000,1
-29.82638, 0.63000,    -1.13236,1.00000,1
-29.82795, 0.64000,    -1.13154,1.00000,1
-29.82948, 0.65000,    -1.13077,1.00000,1
-29.83097, 0.66000,    -1.13011,1.00000,1
-29.83241, 0.67000,    -1.12959,1.00000,1
-29.83379, 0.68000,    -1.12927,1.00000,1
-29.83510, 0.69000,    -1.12919,1.00000,1
-29.83633, 0.70000,    -1.12940,1.00000,1
-29.83749, 0.71000,    -1.12991,1.00000,1
-29.83860, 0.72000,    -1.13066,1.00000,1
-29.83968, 0.73000,    -1.13159,1.00000,1
-29.84078, 0.74000,    -1.13260,1.00000,1
-29.84193, 0.75000,    -1.13363,1.00000,1
-29.84315, 0.76000,    -1.13459,1.00000,1
-29.84448, 0.77000,    -1.13540,1.00000,1
-29.84596, 0.78000,    -1.13599,1.00000,1
-29.84761, 0.79000,    -1.13628,1.00000,1
-29.84947, 0.80000,    -1.13618,1.00000,1
-29.85156, 0.81000,    -1.13564,1.00000,1
-29.85385, 0.82000,    -1.13469,1.00000,1
-29.85630, 0.83000,    -1.13338,1.00000,1
-29.85888, 0.84000,    -1.13176,1.00000,1
-29.86154, 0.85000,    -1.12989,1.00000,1
-29.86424, 0.86000,    -1.12782,1.00000,1
-29.86696, 0.87000,    -1.12560,1.00000,1
-29.86964, 0.88000,    -1.12327,1.00000,1
-29.87226, 0.89000,    -1.12090,1.00000,1
-29.87476, 0.90000,    -1.11853,1.00000,1
-29.87713, 0.91000,    -1.11621,1.00000,1
-29.87936, 0.92000,    -1.11397,1.00000,1
-29.88145, 0.93000,    -1.11182,1.00000,1
-29.88342, 0.94000,    -1.10977,1.00000,1
-29.88527, 0.95000,    -1.10786,1.00000,1
-29.88701, 0.96000,    -1.10610,1.00000,1
-29.88865, 0.97000,    -1.10450,1.00000,1
-29.89018, 0.98000,    -1.10309,1.00000,1
-29.89163, 0.99000,    -1.10188,1.00000,1
-29.89300, 1.00000,    -1.10090,1.00000,1
-29.89429, 1.01000,    -1.10014,1.00000,1
-29.89551, 1.02000,    -1.09957,1.00000,1
-29.89667, 1.03000,    -1.09913,1.00000,1
-29.89778, 1.04000,    -1.09878,1.00000,1
-29.89883, 1.05000,    -1.09846,1.00000,1
-29.89984, 1.06000,    -1.09811,1.00000,1
-29.90082, 1.07000,    -1.09768,1.00000,1
-29.90176, 1.08000,    -1.09712,1.00000,1
-29.90268, 1.09000,    -1.09637,1.00000,1
-29.90359, 1.10000,    -1.09539,1.00000,1
-29.90448, 1.11000,    -1.09413,1.00000,1
-29.90536, 1.12000,    -1.09261,1.00000,1
-29.90624, 1.13000,    -1.09084,1.00000,1
-29.90710, 1.14000,    -1.08887,1.00000,1
-29.90797, 1.15000,    -1.08670,1.00000,1
-29.90882, 1.16000,    -1.08437,1.00000,1
-29.90968, 1.17000,    -1.08190,1.00000,1
-29.91053, 1.18000,    -1.07932,1.00000,1
-29.91138, 1.19000,    -1.07666,1.00000,1
-29.91224, 1.20000,    -1.07393,1.00000,1
-29.91309, 1.21000,    -1.07117,1.00000,1
-29.91395, 1.22000,    -1.06841,1.00000,1
-29.91480, 1.23000,    -1.06568,1.00000,1
-29.91566, 1.24000,    -1.06301,1.00000,1
-29.91652, 1.25000,    -1.06044,1.00000,1
-29.91737, 1.26000,    -1.05800,1.00000,1
-29.91823, 1.27000,    -1.05572,1.00000,1
-29.91908, 1.28000,    -1.05364,1.00000,1
-29.91992, 1.29000,    -1.05178,1.00000,1
-29.92076, 1.30000,    -1.05019,1.00000,1
-29.92160, 1.31000,    -1.04888,1.00000,1
-29.92243, 1.32000,    -1.04782,1.00000,1
-29.92326, 1.33000,    -1.04694,1.00000,1
-29.92408, 1.34000,    -1.04620,1.00000,1
-29.92490, 1.35000,    -1.04554,1.00000,1
-29.92572, 1.36000,    -1.04492,1.00000,1
-29.92653, 1.37000,    -1.04428,1.00000,1
-29.92733, 1.38000,    -1.04356,1.00000,1
-29.92814, 1.39000,    -1.04272,1.00000,1
-29.92894, 1.40000,    -1.04169,1.00000,1
-29.92974, 1.41000,    -1.04045,1.00000,1
-29.93054, 1.42000,    -1.03901,1.00000,1
-29.93133, 1.43000,    -1.03741,1.00000,1
-29.93212, 1.44000,    -1.03566,1.00000,1
-29.93291, 1.45000,    -1.03381,1.00000,1
-29.93370, 1.46000,    -1.03189,1.00000,1
-29.93448, 1.47000,    -1.02992,1.00000,1
-29.93527, 1.48000,    -1.02795,1.00000,1
-29.93605, 1.49000,    -1.02599,1.00000,1
-29.93682, 1.50000,    -1.02409,1.00000,1
-29.93760, 1.51000,    -1.02227,1.00000,1
-29.93837, 1.52000,    -1.02054,1.00000,1
-29.93914, 1.53000,    -1.01891,1.00000,1
-29.93991, 1.54000,    -1.01739,1.00000,1
-29.94068, 1.55000,    -1.01599,1.00000,1
-29.94144, 1.56000,    -1.01471,1.00000,1
-29.94220, 1.57000,    -1.01357,1.00000,1
-29.94296, 1.58000,    -1.01258,1.00000,1
-29.94372, 1.59000,    -1.01173,1.00000,1
-29.94447, 1.60000,    -1.01104,1.00000,1
-29.94522, 1.61000,    -1.01051,1.00000,1
-29.94597, 1.62000,    -1.01010,1.00000,1
-29.94672, 1.63000,    -1.00975,1.00000,1
-29.94746, 1.64000,    -1.00942,1.00000,1
-29.94821, 1.65000,    -1.00905,1.00000,1
-29.94895, 1.66000,    -1.00859,1.00000,1
-29.94968, 1.67000,    -1.00799,1.00000,1
-29.95042, 1.68000,    -1.00721,1.00000,1
-29.95115, 1.69000,    -1.00618,1.00000,1
-29.95188, 1.70000,    -1.00486,1.00000,1
-29.95261, 1.71000,    -1.00322,1.00000,1
-29.95333, 1.72000,    -1.00129,1.00000,1
-29.95405, 1.73000,    -0.99915,1.00000,1
-29.95477, 1.74000,    -0.99686,1.00000,1
-29.95548, 1.75000,    -0.99448,1.00000,1
-29.95619, 1.76000,    -0.99207,1.00000,1
-29.95689, 1.77000,    -0.98970,1.00000,1
-29.95758, 1.78000,    -0.98743,1.00000,1
-29.95826, 1.79000,    -0.98533,1.00000,1
-29.95894, 1.80000,    -0.98345,1.00000,1
-29.95961, 1.81000,    -0.98185,1.00000,1
-29.96027, 1.82000,    -0.98050,1.00000,1
-29.96092, 1.83000,    -0.97940,1.00000,1
-29.96156, 1.84000,    -0.97849,1.00000,1
-29.96220, 1.85000,    -0.97777,1.00000,1
-29.96282, 1.86000,    -0.97719,1.00000,1
-29.96344, 1.87000,    -0.97673,1.00000,1
-29.96405, 1.88000,    -0.97636,1.00000,1
-29.96464, 1.89000,    -0.97605,1.00000,1
-29.96524, 1.90000,    -0.97578,1.00000,1
-29.96582, 1.91000,    -0.97551,1.00000,1
-29.96639, 1.92000,    -0.97522,1.00000,1
-29.96696, 1.93000,    -0.97486,1.00000,1
-29.96752, 1.94000,    -0.97442,1.00000,1
-29.96807, 1.95000,    -0.97385,1.00000,1
-29.96862, 1.96000,    -0.97313,1.00000,1
-29.96916, 1.97000,    -0.97223,1.00000,1
-29.96970, 1.98000,    -0.97111,1.00000,1
-29.97023, 1.99000,    -0.96973,1.00000,1
-29.97076, 2.00000,    -0.96808,1.00000,1
-29.97129, 2.01000,    -0.96614,1.00000,1
-29.97182, 2.02000,    -0.96396,1.00000,1
-29.97234, 2.03000,    -0.96162,1.00000,1
-29.97286, 2.04000,    -0.95921,1.00000,1
-29.97337, 2.05000,    -0.95679,1.00000,1
-29.97388, 2.06000,    -0.95446,1.00000,1
-29.97438, 2.07000,    -0.95227,1.00000,1
-29.97487, 2.08000,    -0.95032,1.00000,1
-29.97535, 2.09000,    -0.94869,1.00000,1
-29.97582, 2.10000,    -0.94744,1.00000,1
-29.97629, 2.11000,    -0.94663,1.00000,1
-29.97674, 2.12000,    -0.94621,1.00000,1
-29.97719, 2.13000,    -0.94611,1.00000,1
-29.97762, 2.14000,    -0.94626,1.00000,1
-29.97805, 2.15000,    -0.94658,1.00000,1
-29.97847, 2.16000,    -0.94699,1.00000,1
-29.97888, 2.17000,    -0.94743,1.00000,1
-29.97928, 2.18000,    -0.94782,1.00000,1
-29.97967, 2.19000,    -0.94808,1.00000,1
-29.98006, 2.20000,    -0.94814,1.00000,1
-29.98044, 2.21000,    -0.94794,1.00000,1
-29.98081, 2.22000,    -0.94749,1.00000,1
-29.98118, 2.23000,    -0.94680,1.00000,1
-29.98155, 2.24000,    -0.94588,1.00000,1
-29.98192, 2.25000,    -0.94476,1.00000,1
-29.98228, 2.26000,    -0.94345,1.00000,1
-29.98265, 2.27000,    -0.94196,1.00000,1
-29.98302, 2.28000,    -0.94032,1.00000,1
-29.98339, 2.29000,    -0.93854,1.00000,1
-29.98376, 2.30000,    -0.93664,1.00000,1
-29.98415, 2.31000,    -0.93463,1.00000,1
-29.98453, 2.32000,    -0.93256,1.00000,1
-29.98492, 2.33000,    -0.93046,1.00000,1
-29.98532, 2.34000,    -0.92837,1.00000,1
-29.98571, 2.35000,    -0.92634,1.00000,1
-29.98609, 2.36000,    -0.92439,1.00000,1
-29.98648, 2.37000,    -0.92258,1.00000,1
-29.98686, 2.38000,    -0.92094,1.00000,1
-29.98723, 2.39000,    -0.91951,1.00000,1
-29.98759, 2.40000,    -0.91833,1.00000,1
-29.98794, 2.41000,    -0.91742,1.00000,1
-29.98828, 2.42000,    -0.91677,1.00000,1
-29.98861, 2.43000,    -0.91635,1.00000,1
-29.98893, 2.44000,    -0.91611,1.00000,1
-29.98924, 2.45000,    -0.91603,1.00000,1
-29.98955, 2.46000,    -0.91606,1.00000,1
-29.98985, 2.47000,    -0.91619,1.00000,1
-29.99014, 2.48000,    -0.91637,1.00000,1
-29.99042, 2.49000,    -0.91657,1.00000,1
-29.99071, 2.50000,    -0.91675,1.00000,1
-29.99098, 2.51000,    -0.91689,1.00000,1
-29.99126, 2.52000,    -0.91696,1.00000,1
-29.99153, 2.53000,    -0.91694,1.00000,1
-29.99179, 2.54000,    -0.91680,1.00000,1
-29.99206, 2.55000,    -0.91651,1.00000,1
-29.99233, 2.56000,    -0.91606,1.00000,1
-29.99260, 2.57000,    -0.91542,1.00000,1
-29.99287, 2.58000,    -0.91457,1.00000,1
-29.99314, 2.59000,    -0.91348,1.00000,1
-29.99341, 2.60000,    -0.91214,1.00000,1
-29.99369, 2.61000,    -0.91052,1.00000,1
-29.99397, 2.62000,    -0.90869,1.00000,1
-29.99425, 2.63000,    -0.90671,1.00000,1
-29.99454, 2.64000,    -0.90466,1.00000,1
-29.99482, 2.65000,    -0.90260,1.00000,1
-29.99511, 2.66000,    -0.90060,1.00000,1
-29.99539, 2.67000,    -0.89874,1.00000,1
-29.99568, 2.68000,    -0.89707,1.00000,1
-29.99596, 2.69000,    -0.89568,1.00000,1
-29.99624, 2.70000,    -0.89463,1.00000,1
-29.99651, 2.71000,    -0.89396,1.00000,1
-29.99678, 2.72000,    -0.89364,1.00000,1
-29.99705, 2.73000,    -0.89361,1.00000,1
-29.99731, 2.74000,    -0.89380,1.00000,1
-29.99756, 2.75000,    -0.89414,1.00000,1
-29.99782, 2.76000,    -0.89459,1.00000,1
-29.99806, 2.77000,    -0.89507,1.00000,1
-29.99830, 2.78000,    -0.89553,1.00000,1
-29.99854, 2.79000,    -0.89590,1.00000,1
-29.99876, 2.80000,    -0.89611,1.00000,1
-29.99899, 2.81000,    -0.89613,1.00000,1
-29.99920, 2.82000,    -0.89595,1.00000,1
-29.99942, 2.83000,    -0.89559,1.00000,1
-29.99962, 2.84000,    -0.89506,1.00000,1
-29.99983, 2.85000,    -0.89438,1.00000,1
-30.00003, 2.86000,    -0.89356,1.00000,1
-30.00023, 2.87000,    -0.89262,1.00000,1
-30.00043, 2.88000,    -0.89158,1.00000,1
-30.00062, 2.89000,    -0.89044,1.00000,1
-30.00082, 2.90000,    -0.88923,1.00000,1
-30.00102, 2.91000,    -0.88796,1.00000,1
-30.00122, 2.92000,    -0.88664,1.00000,1
-30.00142, 2.93000,    -0.88531,1.00000,1
-30.00162, 2.94000,    -0.88397,1.00000,1
-30.00182, 2.95000,    -0.88266,1.00000,1
-30.00202, 2.96000,    -0.88138,1.00000,1
-30.00221, 2.97000,    -0.88017,1.00000,1
-30.00240, 2.98000,    -0.87903,1.00000,1
-30.00258, 2.99000,    -0.87799,1.00000,1
-30.00276, 3.00000,    -0.87707,1.00000,1
-30.00294, 3.01000,    -0.87629,1.00000,1
-30.00311, 3.02000,    -0.87564,1.00000,1
-30.00327, 3.03000,    -0.87514,1.00000,1
-30.00343, 3.04000,    -0.87477,1.00000,1
-30.00358, 3.05000,    -0.87455,1.00000,1
-30.00373, 3.06000,    -0.87446,1.00000,1
-30.00386, 3.07000,    -0.87452,1.00000,1
-30.00399, 3.08000,    -0.87471,1.00000,1
-30.00412, 3.09000,    -0.87505,1.00000,1
-30.00424, 3.10000,    -0.87553,1.00000,1
-30.00434, 3.11000,    -0.87613,1.00000,1
-30.00445, 3.12000,    -0.87682,1.00000,1
-30.00455, 3.13000,    -0.87752,1.00000,1
-30.00464, 3.14000,    -0.87818,1.00000,1
-30.00474, 3.15000,    -0.87873,1.00000,1
-30.00483, 3.16000,    -0.87912,1.00000,1
-30.00493, 3.17000,    -0.87927,1.00000,1
-30.00502, 3.18000,    -0.87913,1.00000,1
-30.00513, 3.19000,    -0.87864,1.00000,1
-30.00524, 3.20000,    -0.87774,1.00000,1
-30.00535, 3.21000,    -0.87638,1.00000,1
-30.00547, 3.22000,    -0.87462,1.00000,1
-30.00560, 3.23000,    -0.87254,1.00000,1
-30.00573, 3.24000,    -0.87022,1.00000,1
-30.00586, 3.25000,    -0.86774,1.00000,1
-30.00600, 3.26000,    -0.86517,1.00000,1
-30.00613, 3.27000,    -0.86260,1.00000,1
-30.00627, 3.28000,    -0.86011,1.00000,1
-30.00640, 3.29000,    -0.85776,1.00000,1
-30.00653, 3.30000,    -0.85565,1.00000,1
-30.00665, 3.31000,    -0.85383,1.00000,1
-30.00677, 3.32000,    -0.85231,1.00000,1
-30.00689, 3.33000,    -0.85108,1.00000,1
-30.00700, 3.34000,    -0.85012,1.00000,1
-30.00710, 3.35000,    -0.84943,1.00000,1
-30.00719, 3.36000,    -0.84899,1.00000,1
-30.00727, 3.37000,    -0.84879,1.00000,1
-30.00735, 3.38000,    -0.84882,1.00000,1
-30.00741, 3.39000,    -0.84908,1.00000,1
-30.00747, 3.40000,    -0.84954,1.00000,1
-30.00752, 3.41000,    -0.85019,1.00000,1
-30.00755, 3.42000,    -0.85097,1.00000,1
-30.00758, 3.43000,    -0.85181,1.00000,1
-30.00761, 3.44000,    -0.85266,1.00000,1
-30.00763, 3.45000,    -0.85344,1.00000,1
-30.00765, 3.46000,    -0.85409,1.00000,1
-30.00767, 3.47000,    -0.85454,1.00000,1
-30.00770, 3.48000,    -0.85472,1.00000,1
-30.00773, 3.49000,    -0.85458,1.00000,1
-30.00776, 3.50000,    -0.85405,1.00000,1
-30.00781, 3.51000,    -0.85307,1.00000,1
-30.00786, 3.52000,    -0.85172,1.00000,1
-30.00793, 3.53000,    -0.85006,1.00000,1
-30.00799, 3.54000,    -0.84817,1.00000,1
-30.00807, 3.55000,    -0.84614,1.00000,1
-30.00814, 3.56000,    -0.84404,1.00000,1
-30.00822, 3.57000,    -0.84195,1.00000,1
-30.00830, 3.58000,    -0.83994,1.00000,1
-30.00839, 3.59000,    -0.83810,1.00000,1
-30.00847, 3.60000,    -0.83651,1.00000,1
-30.00855, 3.61000,    -0.83522,1.00000,1
-30.00863, 3.62000,    -0.83423,1.00000,1
-30.00871, 3.63000,    -0.83352,1.00000,1
-30.00879, 3.64000,    -0.83306,1.00000,1
-30.00887, 3.65000,    -0.83282,1.00000,1
-30.00894, 3.66000,    -0.83279,1.00000,1
-30.00900, 3.67000,    -0.83294,1.00000,1
-30.00907, 3.68000,    -0.83324,1.00000,1
-30.00912, 3.69000,    -0.83368,1.00000,1
-30.00918, 3.70000,    -0.83423,1.00000,1
-30.00922, 3.71000,    -0.83486,1.00000,1
-30.00926, 3.72000,    -0.83554,1.00000,1
-30.00930, 3.73000,    -0.83624,1.00000,1
-30.00934, 3.74000,    -0.83692,1.00000,1
-30.00937, 3.75000,    -0.83755,1.00000,1
-30.00940, 3.76000,    -0.83810,1.00000,1
-30.00943, 3.77000,    -0.83853,1.00000,1
-30.00946, 3.78000,    -0.83881,1.00000,1
-30.00949, 3.79000,    -0.83890,1.00000,1
-30.00953, 3.80000,    -0.83878,1.00000,1
-30.00957, 3.81000,    -0.83841,1.00000,1
-30.00961, 3.82000,    -0.83781,1.00000,1
-30.00965, 3.83000,    -0.83698,1.00000,1
-30.00970, 3.84000,    -0.83596,1.00000,1
-30.00975, 3.85000,    -0.83476,1.00000,1
-30.00981, 3.86000,    -0.83339,1.00000,1
-30.00986, 3.87000,    -0.83187,1.00000,1
-30.00993, 3.88000,    -0.83022,1.00000,1
-30.00999, 3.89000,    -0.82845,1.00000,1
-30.01006, 3.90000,    -0.82659,1.00000,1
-30.01013, 3.91000,    -0.82466,1.00000,1
-30.01020, 3.92000,    -0.82269,1.00000,1
-30.01028, 3.93000,    -0.82075,1.00000,1
-30.01035, 3.94000,    -0.81889,1.00000,1
-30.01043, 3.95000,    -0.81715,1.00000,1
-30.01049, 3.96000,    -0.81559,1.00000,1
-30.01056, 3.97000,    -0.81425,1.00000,1
-30.01062, 3.98000,    -0.81319,1.00000,1
-30.01066, 3.99000,    -0.81246,1.00000,1
-30.01071, 4.00000,    -0.81211,1.00000,1
-30.01074, 4.01000,    -0.81218,1.00000,1
-30.01076, 4.02000,    -0.81261,1.00000,1
-30.01077, 4.03000,    -0.81333,1.00000,1
-30.01078, 4.04000,    -0.81429,1.00000,1
-30.01078, 4.05000,    -0.81542,1.00000,1
-30.01078, 4.06000,    -0.81664,1.00000,1
-30.01078, 4.07000,    -0.81790,1.00000,1
-30.01077, 4.08000,    -0.81913,1.00000,1
-30.01077, 4.09000,    -0.82026,1.00000,1
-30.01076, 4.10000,    -0.82122,1.00000,1
-30.01076, 4.11000,    -0.82196,1.00000,1
-30.01077, 4.12000,    -0.82246,1.00000,1
-30.01077, 4.13000,    -0.82271,1.00000,1
-30.01078, 4.14000,    -0.82270,1.00000,1
-30.01079, 4.15000,    -0.82242,1.00000,1
-30.01080, 4.16000,    -0.82186,1.00000,1
-30.01082, 4.17000,    -0.82101,1.00000,1
-30.01084, 4.18000,    -0.81987,1.00000,1
-30.01086, 4.19000,    -0.81842,1.00000,1
-30.01088, 4.20000,    -0.81665,1.00000,1
-30.01091, 4.21000,    -0.81458,1.00000,1
-30.01093, 4.22000,    -0.81226,1.00000,1
-30.01096, 4.23000,    -0.80979,1.00000,1
-30.01099, 4.24000,    -0.80725,1.00000,1
-30.01102, 4.25000,    -0.80473,1.00000,1
-30.01104, 4.26000,    -0.80230,1.00000,1
-30.01106, 4.27000,    -0.80007,1.00000,1
-30.01109, 4.28000,    -0.79811,1.00000,1
-30.01110, 4.29000,    -0.79651,1.00000,1
-30.01112, 4.30000,    -0.79536,1.00000,1
-30.01113, 4.31000,    -0.79471,1.00000,1
-30.01113, 4.32000,    -0.79453,1.00000,1
-30.01113, 4.33000,    -0.79475,1.00000,1
-30.01113, 4.34000,    -0.79530,1.00000,1
-30.01113, 4.35000,    -0.79614,1.00000,1
-30.01113, 4.36000,    -0.79718,1.00000,1
-30.01112, 4.37000,    -0.79837,1.00000,1
-30.01112, 4.38000,    -0.79965,1.00000,1
-30.01112, 4.39000,    -0.80094,1.00000,1
-30.01112, 4.40000,    -0.80220,1.00000,1
-30.01112, 4.41000,    -0.80335,1.00000,1
-30.01112, 4.42000,    -0.80436,1.00000,1
-30.01113, 4.43000,    -0.80523,1.00000,1
-30.01113, 4.44000,    -0.80593,1.00000,1
-30.01114, 4.45000,    -0.80642,1.00000,1
-30.01115, 4.46000,    -0.80670,1.00000,1
-30.01116, 4.47000,    -0.80674,1.00000,1
-30.01117, 4.48000,    -0.80652,1.00000,1
-30.01117, 4.49000,    -0.80602,1.00000,1
-30.01118, 4.50000,    -0.80521,1.00000,1
-30.01118, 4.51000,    -0.80408,1.00000,1
-30.01118, 4.52000,    -0.80268,1.00000,1
-30.01118, 4.53000,    -0.80105,1.00000,1
-30.01118, 4.54000,    -0.79926,1.00000,1
-30.01118, 4.55000,    -0.79733,1.00000,1
-30.01118, 4.56000,    -0.79534,1.00000,1
-30.01118, 4.57000,    -0.79333,1.00000,1
-30.01118, 4.58000,    -0.79135,1.00000,1
-30.01118, 4.59000,    -0.78946,1.00000,1
-30.01118, 4.60000,    -0.78770,1.00000,1
-30.01118, 4.61000,    -0.78612,1.00000,1
-30.01118, 4.62000,    -0.78475,1.00000,1
-30.01118, 4.63000,    -0.78359,1.00000,1
-30.01119, 4.64000,    -0.78268,1.00000,1
-30.01119, 4.65000,    -0.78202,1.00000,1
-30.01120, 4.66000,    -0.78163,1.00000,1
-30.01120, 4.67000,    -0.78153,1.00000,1
-30.01121, 4.68000,    -0.78174,1.00000,1
-30.01122, 4.69000,    -0.78227,1.00000,1
-30.01124, 4.70000,    -0.78314,1.00000,1
-30.01125, 4.71000,    -0.78435,1.00000,1
-30.01126, 4.72000,    -0.78582,1.00000,1
-30.01128, 4.73000,    -0.78746,1.00000,1
-30.01129, 4.74000,    -0.78916,1.00000,1
-30.01130, 4.75000,    -0.79083,1.00000,1
-30.01132, 4.76000,    -0.79237,1.00000,1
-30.01133, 4.77000,    -0.79369,1.00000,1
-30.01134, 4.78000,    -0.79468,1.00000,1
-30.01135, 4.79000,    -0.79525,1.00000,1
-30.01135, 4.80000,    -0.79531,1.00000,1
-30.01136, 4.81000,    -0.79478,1.00000,1
-30.01135, 4.82000,    -0.79372,1.00000,1
-30.01135, 4.83000,    -0.79220,1.00000,1
-30.01135, 4.84000,    -0.79030,1.00000,1
-30.01134, 4.85000,    -0.78811,1.00000,1
-30.01133, 4.86000,    -0.78570,1.00000,1
-30.01132, 4.87000,    -0.78316,1.00000,1
-30.01131, 4.88000,    -0.78055,1.00000,1
-30.01130, 4.89000,    -0.77797,1.00000,1
-30.01129, 4.90000,    -0.77549,1.00000,1
-30.01128, 4.91000,    -0.77318,1.00000,1
-30.01127, 4.92000,    -0.77107,1.00000,1
-30.01127, 4.93000,    -0.76918,1.00000,1
-30.01126, 4.94000,    -0.76751,1.00000,1
-30.01124, 4.95000,    -0.76609,1.00000,1
-30.01123, 4.96000,    -0.76494,1.00000,1
-30.01122, 4.97000,    -0.76407,1.00000,1
-30.01121, 4.98000,    -0.76350,1.00000,1
-30.01119, 4.99000,    -0.76324,1.00000,1
-30.01118, 5.00000,    -0.76331,1.00000,1
-30.01116, 5.01000,    -0.76372,1.00000,1
-30.01114, 5.02000,    -0.76443,1.00000,1
